|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   34.41 |    1.34 |    0.38 |    0.03 | 7fe4979 |
|             NEON |          tiny |   4 |   0 |   33.97 |    1.31 |    0.38 |    0.03 | 7fe4979 |
|             NEON |       base.en |   4 |   0 |   69.91 |    2.14 |    0.48 |    0.06 | 7fe4979 |
|             NEON |          base |   4 |   0 |   69.44 |    2.17 |    0.46 |    0.06 | 7fe4979 |
|             NEON |      small.en |   4 |   0 |  227.17 |    5.49 |    1.20 |    0.18 | 7fe4979 |
|             NEON |         small |   4 |   0 |  229.41 |    5.48 |    1.21 |    0.18 | 7fe4979 |
|             NEON |     medium.en |   4 |   0 |  676.02 |   14.71 |    3.16 |    0.49 | 7fe4979 |
|             NEON |        medium |   4 |   0 |  680.82 |   14.30 |    3.04 |    0.49 | 7fe4979 |
|             NEON |      large-v1 |   4 |   0 | 1268.20 |   24.74 |    5.24 |    0.89 | 7fe4979 |
|             NEON |      large-v2 |   4 |   0 | 1268.88 |   24.79 |    5.25 |    0.89 | 7fe4979 |
|             NEON |      large-v3 |   4 |   0 | 1271.58 |   24.79 |    5.25 |    0.89 | 7fe4979 |
|             NEON | large-v3-turbo |   4 |   0 | 1157.34 |    4.52 |    0.95 |    0.15 | 7fe4979 |
