|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  548.25 |    1.88 |    0.97 |    0.74 | 7fe4979 |
|             AVX2 |          tiny |   4 |   0 |  550.36 |    1.87 |    0.95 |    0.73 | 7fe4979 |
|             AVX2 |       base.en |   4 |   0 | 1203.87 |    3.59 |    1.69 |    1.31 | 7fe4979 |
|             AVX2 |          base |   4 |   0 | 1204.86 |    3.62 |    1.69 |    1.30 | 7fe4979 |
|             AVX2 |      small.en |   4 |   0 | 4204.09 |   10.22 |    4.72 |    3.68 | 7fe4979 |
|             AVX2 |         small |   4 |   0 | 4211.39 |   10.28 |    4.73 |    3.69 | 7fe4979 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.30 |   13.50 |   10.31 | 7fe4979 |
|             AVX2 |        medium |   4 |   0 |      ms |   28.92 |   13.26 |   10.26 | 7fe4979 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.40 |   24.31 |   18.78 | 7fe4979 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   52.94 |   24.30 |   18.76 | 7fe4979 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.36 |   24.32 |   18.90 | 7fe4979 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.51 |    4.29 |    3.33 | 7fe4979 |
