|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  550.83 |    2.08 |    1.05 |    0.80 | 7fe4979f |
|             NEON |          tiny |   4 |   0 |  548.24 |    2.11 |    1.05 |    0.79 | 7fe4979f |
|             NEON |       base.en |   4 |   0 | 1230.90 |    4.30 |    1.93 |    1.39 | 7fe4979f |
|             NEON |          base |   4 |   0 | 1238.70 |    4.33 |    1.93 |    1.39 | 7fe4979f |
|             NEON |      small.en |   4 |   0 | 4395.45 |   12.44 |    5.50 |    3.81 | 7fe4979f |
|             NEON |         small |   4 |   0 | 4398.01 |   12.18 |    5.48 |    3.80 | 7fe4979f |
|             NEON |     medium.en |   4 |   0 |      ms |   33.74 |   14.42 |   10.66 | 7fe4979f |
|             NEON |        medium |   4 |   0 |      ms |   34.02 |   14.73 |   10.71 | 7fe4979f |
|             NEON |      large-v1 |   4 |   0 |      ms |   61.75 |   26.77 |   19.62 | 7fe4979f |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.57 |   26.33 |   19.51 | 7fe4979f |
|             NEON |      large-v3 |   4 |   0 |      ms |   59.41 |   25.99 |   19.46 | 7fe4979f |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.15 |    4.53 |    3.43 | 7fe4979f |
