|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.05 |    0.29 |    0.01 | 7fe4979f |
|             AVX2 |          tiny |   4 |   0 |    5.82 |    1.05 |    0.30 |    0.01 | 7fe4979f |
|             AVX2 |       base.en |   4 |   0 |   10.60 |    1.44 |    0.41 |    0.02 | 7fe4979f |
|             AVX2 |          base |   4 |   0 |   10.61 |    1.43 |    0.43 |    0.02 | 7fe4979f |
|             AVX2 |      small.en |   4 |   0 |   30.00 |    2.87 |    0.84 |    0.04 | 7fe4979f |
|             AVX2 |         small |   4 |   0 |   29.91 |    2.76 |    0.84 |    0.04 | 7fe4979f |
|             AVX2 |     medium.en |   4 |   0 |   81.57 |    6.01 |    1.79 |    0.09 | 7fe4979f |
|             AVX2 |        medium |   4 |   0 |   81.49 |    5.96 |    1.80 |    0.09 | 7fe4979f |
|             AVX2 |      large-v1 |   4 |   0 |  134.74 |    8.59 |    2.70 |    0.14 | 7fe4979f |
|             AVX2 |      large-v2 |   4 |   0 |  134.74 |    8.65 |    2.70 |    0.14 | 7fe4979f |
|             AVX2 |      large-v3 |   4 |   0 |  135.05 |    8.60 |    2.66 |    0.14 | 7fe4979f |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.50 |    1.37 |    0.43 |    0.02 | 7fe4979f |
