|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  440.89 |    1.25 |    0.72 |    0.60 | 7fe4979 |
|             AVX2 |          tiny |   4 |   0 |  442.24 |    1.24 |    0.72 |    0.60 | 7fe4979 |
|             AVX2 |       base.en |   4 |   0 |  962.59 |    2.97 |    1.42 |    1.05 | 7fe4979 |
|             AVX2 |          base |   4 |   0 |  967.15 |    2.93 |    1.40 |    1.05 | 7fe4979 |
|             AVX2 |      small.en |   4 |   0 | 3403.32 |   10.97 |    4.51 |    2.98 | 7fe4979 |
|             AVX2 |         small |   4 |   0 | 3412.21 |   10.87 |    4.49 |    3.01 | 7fe4979 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.17 |   12.90 |    8.36 | 7fe4979 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.28 |   12.89 |    8.37 | 7fe4979 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.28 |   24.36 |   15.39 | 7fe4979 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.20 |   24.39 |   15.39 | 7fe4979 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   60.87 |   24.34 |   15.41 | 7fe4979 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.11 |    4.10 |    2.75 | 7fe4979 |
