|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.91 |    1.31 |    0.37 |    0.03 | 80dad86 |
|             NEON |          tiny |   4 |   0 |   33.84 |    1.31 |    0.38 |    0.03 | 80dad86 |
|             NEON |       base.en |   4 |   0 |   69.39 |    2.12 |    0.48 |    0.06 | 80dad86 |
|             NEON |          base |   4 |   0 |   69.85 |    2.13 |    0.48 |    0.06 | 80dad86 |
|             NEON |      small.en |   4 |   0 |  227.70 |    5.48 |    1.20 |    0.18 | 80dad86 |
|             NEON |         small |   4 |   0 |  229.13 |    5.46 |    1.19 |    0.18 | 80dad86 |
|             NEON |     medium.en |   4 |   0 |  677.84 |   14.21 |    3.05 |    0.49 | 80dad86 |
|             NEON |        medium |   4 |   0 |  679.99 |   14.31 |    3.06 |    0.49 | 80dad86 |
|             NEON |      large-v1 |   4 |   0 | 1267.57 |   24.73 |    5.23 |    0.89 | 80dad86 |
|             NEON |      large-v2 |   4 |   0 | 1267.51 |   24.78 |    5.25 |    0.89 | 80dad86 |
|             NEON |      large-v3 |   4 |   0 | 1266.41 |   24.73 |    5.25 |    0.89 | 80dad86 |
|             NEON | large-v3-turbo |   4 |   0 | 1179.99 |    4.68 |    0.94 |    0.15 | 80dad86 |
