|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  550.83 |    1.90 |    0.95 |    0.75 | 80dad86 |
|             AVX2 |          tiny |   4 |   0 |  550.95 |    1.82 |    0.98 |    0.75 | 80dad86 |
|             AVX2 |       base.en |   4 |   0 | 1213.65 |    3.67 |    1.73 |    1.31 | 80dad86 |
|             AVX2 |          base |   4 |   0 | 1207.12 |    3.61 |    1.72 |    1.31 | 80dad86 |
|             AVX2 |      small.en |   4 |   0 | 4240.00 |   10.22 |    4.84 |    3.72 | 80dad86 |
|             AVX2 |         small |   4 |   0 | 4270.70 |   10.37 |    4.78 |    3.71 | 80dad86 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.23 |   13.41 |   10.31 | 80dad86 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.04 |   13.41 |   10.29 | 80dad86 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.59 |   24.49 |   18.84 | 80dad86 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.00 |   24.31 |   18.88 | 80dad86 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.26 |   24.50 |   18.88 | 80dad86 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.55 |    4.23 |    3.34 | 80dad86 |
