|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.04 |    0.28 |    0.01 | 80dad86b |
|             AVX2 |          tiny |   4 |   0 |    5.79 |    0.98 |    0.29 |    0.01 | 80dad86b |
|             AVX2 |       base.en |   4 |   0 |   10.60 |    1.44 |    0.41 |    0.02 | 80dad86b |
|             AVX2 |          base |   4 |   0 |   10.61 |    1.46 |    0.44 |    0.02 | 80dad86b |
|             AVX2 |      small.en |   4 |   0 |   30.01 |    2.75 |    0.85 |    0.04 | 80dad86b |
|             AVX2 |         small |   4 |   0 |   30.06 |    2.80 |    0.87 |    0.04 | 80dad86b |
|             AVX2 |     medium.en |   4 |   0 |   81.43 |    5.93 |    1.79 |    0.09 | 80dad86b |
|             AVX2 |        medium |   4 |   0 |   81.30 |    5.93 |    1.79 |    0.09 | 80dad86b |
|             AVX2 |      large-v1 |   4 |   0 |  134.80 |    8.60 |    2.72 |    0.14 | 80dad86b |
|             AVX2 |      large-v2 |   4 |   0 |  134.83 |    8.66 |    2.71 |    0.14 | 80dad86b |
|             AVX2 |      large-v3 |   4 |   0 |  135.23 |    8.60 |    2.77 |    0.14 | 80dad86b |
|             AVX2 | large-v3-turbo |   4 |   0 |  126.40 |    1.41 |    0.44 |    0.02 | 80dad86b |
