|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  438.55 |    1.24 |    0.72 |    0.60 | 80dad86 |
|             AVX2 |          tiny |   4 |   0 |  440.13 |    1.23 |    0.72 |    0.60 | 80dad86 |
|             AVX2 |       base.en |   4 |   0 |  962.79 |    2.99 |    1.45 |    1.05 | 80dad86 |
|             AVX2 |          base |   4 |   0 |  967.68 |    2.96 |    1.41 |    1.05 | 80dad86 |
|             AVX2 |      small.en |   4 |   0 | 3410.70 |   10.94 |    4.47 |    3.00 | 80dad86 |
|             AVX2 |         small |   4 |   0 | 3416.02 |   10.92 |    4.47 |    2.99 | 80dad86 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.18 |   12.93 |    8.38 | 80dad86 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.21 |   12.90 |    8.36 | 80dad86 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.18 |   24.35 |   15.40 | 80dad86 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.29 |   24.38 |   15.41 | 80dad86 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.00 |   24.38 |   15.40 | 80dad86 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.03 |    4.12 |    2.75 | 80dad86 |
