|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.88 |    1.31 |    0.38 |    0.03 | 83b14c3 |
|             NEON |          tiny |   4 |   0 |   33.97 |    1.32 |    0.38 |    0.03 | 83b14c3 |
|             NEON |       base.en |   4 |   0 |   69.61 |    2.13 |    0.48 |    0.06 | 83b14c3 |
|             NEON |          base |   4 |   0 |   70.00 |    2.11 |    0.46 |    0.06 | 83b14c3 |
|             NEON |      small.en |   4 |   0 |  226.79 |    5.50 |    1.19 |    0.18 | 83b14c3 |
|             NEON |         small |   4 |   0 |  230.62 |    5.74 |    1.24 |    0.18 | 83b14c3 |
|             NEON |     medium.en |   4 |   0 |  679.32 |   14.30 |    3.04 |    0.49 | 83b14c3 |
|             NEON |        medium |   4 |   0 |  676.21 |   14.29 |    3.07 |    0.49 | 83b14c3 |
|             NEON |      large-v1 |   4 |   0 | 1265.47 |   24.73 |    5.23 |    0.89 | 83b14c3 |
|             NEON |      large-v2 |   4 |   0 | 1266.91 |   24.77 |    5.22 |    0.89 | 83b14c3 |
|             NEON |      large-v3 |   4 |   0 | 1269.14 |   24.77 |    5.27 |    0.89 | 83b14c3 |
|             NEON | large-v3-turbo |   4 |   0 | 1156.89 |    4.52 |    0.94 |    0.15 | 83b14c3 |
