|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  563.92 |    1.95 |    0.98 |    0.77 | 83b14c3 |
|             AVX2 |          tiny |   4 |   0 |  573.66 |    1.89 |    0.95 |    0.77 | 83b14c3 |
|             AVX2 |       base.en |   4 |   0 | 1241.41 |    3.61 |    1.75 |    1.36 | 83b14c3 |
|             AVX2 |          base |   4 |   0 | 1236.46 |    3.59 |    1.75 |    1.34 | 83b14c3 |
|             AVX2 |      small.en |   4 |   0 | 4372.24 |   10.42 |    4.86 |    3.80 | 83b14c3 |
|             AVX2 |         small |   4 |   0 | 4385.31 |   10.36 |    4.86 |    3.81 | 83b14c3 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.50 |   13.82 |   10.62 | 83b14c3 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.35 |   13.89 |   10.66 | 83b14c3 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.89 |   25.15 |   19.47 | 83b14c3 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.76 |   25.29 |   19.49 | 83b14c3 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.80 |   25.08 |   19.55 | 83b14c3 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.54 |    4.35 |    3.44 | 83b14c3 |
