|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  548.17 |    2.04 |    1.03 |    0.79 | 83b14c35 |
|             NEON |          tiny |   4 |   0 |  545.82 |    2.04 |    1.03 |    0.79 | 83b14c35 |
|             NEON |       base.en |   4 |   0 | 1234.04 |    4.22 |    1.91 |    1.39 | 83b14c35 |
|             NEON |          base |   4 |   0 | 1232.75 |    4.26 |    1.91 |    1.38 | 83b14c35 |
|             NEON |      small.en |   4 |   0 | 4378.89 |   12.19 |    5.45 |    3.79 | 83b14c35 |
|             NEON |         small |   4 |   0 | 4371.88 |   11.98 |    5.43 |    3.78 | 83b14c35 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.33 |   14.50 |   10.64 | 83b14c35 |
|             NEON |        medium |   4 |   0 |      ms |   33.62 |   14.64 |   10.65 | 83b14c35 |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.87 |   26.46 |   19.49 | 83b14c35 |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.85 |   26.51 |   19.49 | 83b14c35 |
|             NEON |      large-v3 |   4 |   0 |      ms |   60.08 |   26.26 |   19.45 | 83b14c35 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.08 |    4.53 |    3.42 | 83b14c35 |
