|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.03 |    0.29 |    0.01 | 83b14c35 |
|             AVX2 |          tiny |   4 |   0 |    6.02 |    1.00 |    0.30 |    0.01 | 83b14c35 |
|             AVX2 |       base.en |   4 |   0 |   10.62 |    1.45 |    0.43 |    0.02 | 83b14c35 |
|             AVX2 |          base |   4 |   0 |   10.59 |    1.47 |    0.42 |    0.02 | 83b14c35 |
|             AVX2 |      small.en |   4 |   0 |   30.01 |    2.76 |    0.85 |    0.04 | 83b14c35 |
|             AVX2 |         small |   4 |   0 |   30.02 |    2.74 |    0.84 |    0.04 | 83b14c35 |
|             AVX2 |     medium.en |   4 |   0 |   81.40 |    5.98 |    1.82 |    0.09 | 83b14c35 |
|             AVX2 |        medium |   4 |   0 |   81.36 |    6.02 |    1.81 |    0.09 | 83b14c35 |
|             AVX2 |      large-v1 |   4 |   0 |  134.87 |    8.66 |    2.70 |    0.14 | 83b14c35 |
|             AVX2 |      large-v2 |   4 |   0 |  134.74 |    8.68 |    2.68 |    0.14 | 83b14c35 |
|             AVX2 |      large-v3 |   4 |   0 |  134.89 |    8.60 |    2.66 |    0.14 | 83b14c35 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.40 |    1.37 |    0.45 |    0.02 | 83b14c35 |
