|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  440.91 |    1.23 |    0.72 |    0.59 | 83b14c3 |
|             AVX2 |          tiny |   4 |   0 |  439.18 |    1.29 |    0.75 |    0.60 | 83b14c3 |
|             AVX2 |       base.en |   4 |   0 |  964.41 |    2.96 |    1.42 |    1.05 | 83b14c3 |
|             AVX2 |          base |   4 |   0 |  967.34 |    3.03 |    1.43 |    1.06 | 83b14c3 |
|             AVX2 |      small.en |   4 |   0 | 3403.53 |   10.95 |    4.49 |    2.99 | 83b14c3 |
|             AVX2 |         small |   4 |   0 | 3414.35 |   10.97 |    4.49 |    3.00 | 83b14c3 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.40 |   12.95 |    8.37 | 83b14c3 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.23 |   12.90 |    8.39 | 83b14c3 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.27 |   24.36 |   15.38 | 83b14c3 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.22 |   24.42 |   15.40 | 83b14c3 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.14 |   24.41 |   15.37 | 83b14c3 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.08 |    4.11 |    2.76 | 83b14c3 |
