|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.92 |    1.31 |    0.38 |    0.03 | 96db0c5 |
|             NEON |          tiny |   4 |   0 |   33.97 |    1.34 |    0.38 |    0.03 | 96db0c5 |
|             NEON |       base.en |   4 |   0 |   69.34 |    2.12 |    0.48 |    0.06 | 96db0c5 |
|             NEON |          base |   4 |   0 |   69.51 |    2.12 |    0.48 |    0.06 | 96db0c5 |
|             NEON |      small.en |   4 |   0 |  227.01 |    5.53 |    1.19 |    0.18 | 96db0c5 |
|             NEON |         small |   4 |   0 |  226.37 |    5.53 |    1.19 |    0.18 | 96db0c5 |
|             NEON |     medium.en |   4 |   0 |  679.39 |   14.25 |    3.05 |    0.49 | 96db0c5 |
|             NEON |        medium |   4 |   0 |  676.49 |   14.23 |    3.04 |    0.49 | 96db0c5 |
|             NEON |      large-v1 |   4 |   0 | 1265.40 |   24.73 |    5.23 |    0.89 | 96db0c5 |
|             NEON |      large-v2 |   4 |   0 | 1271.00 |   24.77 |    5.25 |    0.89 | 96db0c5 |
|             NEON |      large-v3 |   4 |   0 | 1286.57 |   24.80 |    5.25 |    0.89 | 96db0c5 |
|             NEON | large-v3-turbo |   4 |   0 | 1158.08 |    4.51 |    0.95 |    0.15 | 96db0c5 |
