|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  561.71 |    1.86 |    0.96 |    0.77 | 96db0c5 |
|             AVX2 |          tiny |   4 |   0 |  567.88 |    1.91 |    1.01 |    0.77 | 96db0c5 |
|             AVX2 |       base.en |   4 |   0 | 1238.02 |    3.69 |    1.73 |    1.35 | 96db0c5 |
|             AVX2 |          base |   4 |   0 | 1243.87 |    3.71 |    1.73 |    1.36 | 96db0c5 |
|             AVX2 |      small.en |   4 |   0 | 4338.30 |   10.47 |    4.88 |    3.79 | 96db0c5 |
|             AVX2 |         small |   4 |   0 | 4381.06 |   10.39 |    4.90 |    3.81 | 96db0c5 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.49 |   13.71 |   10.58 | 96db0c5 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.24 |   13.79 |   10.62 | 96db0c5 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.48 |   24.98 |   19.39 | 96db0c5 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.69 |   24.95 |   19.42 | 96db0c5 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.65 |   25.05 |   19.51 | 96db0c5 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.54 |    4.34 |    3.42 | 96db0c5 |
