|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.17 |    1.04 |    0.30 |    0.01 | 96db0c5a |
|             AVX2 |          tiny |   4 |   0 |    5.79 |    1.00 |    0.29 |    0.01 | 96db0c5a |
|             AVX2 |       base.en |   4 |   0 |   10.63 |    1.43 |    0.42 |    0.02 | 96db0c5a |
|             AVX2 |          base |   4 |   0 |   10.62 |    1.41 |    0.43 |    0.02 | 96db0c5a |
|             AVX2 |      small.en |   4 |   0 |   30.01 |    2.75 |    0.85 |    0.04 | 96db0c5a |
|             AVX2 |         small |   4 |   0 |   29.97 |    2.76 |    0.88 |    0.04 | 96db0c5a |
|             AVX2 |     medium.en |   4 |   0 |   81.40 |    6.04 |    1.78 |    0.09 | 96db0c5a |
|             AVX2 |        medium |   4 |   0 |   81.55 |    6.02 |    1.82 |    0.09 | 96db0c5a |
|             AVX2 |      large-v1 |   4 |   0 |  134.70 |    8.62 |    2.70 |    0.14 | 96db0c5a |
|             AVX2 |      large-v2 |   4 |   0 |  134.76 |    8.69 |    2.69 |    0.14 | 96db0c5a |
|             AVX2 |      large-v3 |   4 |   0 |  135.11 |    8.58 |    2.69 |    0.14 | 96db0c5a |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.46 |    1.37 |    0.45 |    0.02 | 96db0c5a |
