|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  437.28 |    1.30 |    0.73 |    0.60 | 96db0c5 |
|             AVX2 |          tiny |   4 |   0 |  440.94 |    1.34 |    0.74 |    0.60 | 96db0c5 |
|             AVX2 |       base.en |   4 |   0 |  964.63 |    2.94 |    1.42 |    1.05 | 96db0c5 |
|             AVX2 |          base |   4 |   0 |  965.75 |    2.99 |    1.40 |    1.05 | 96db0c5 |
|             AVX2 |      small.en |   4 |   0 | 3405.47 |   10.90 |    4.49 |    2.99 | 96db0c5 |
|             AVX2 |         small |   4 |   0 | 3411.48 |   10.97 |    4.50 |    2.99 | 96db0c5 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.42 |   12.96 |    8.38 | 96db0c5 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.20 |   12.90 |    8.40 | 96db0c5 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.10 |   24.38 |   15.41 | 96db0c5 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.09 |   24.37 |   15.39 | 96db0c5 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   60.96 |   24.41 |   15.46 | 96db0c5 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.13 |    4.13 |    2.76 | 96db0c5 |
