|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   34.36 |    1.35 |    0.38 |    0.03 | 9bc0dc7 |
|             NEON |          tiny |   4 |   0 |   33.92 |    1.31 |    0.38 |    0.03 | 9bc0dc7 |
|             NEON |       base.en |   4 |   0 |   70.17 |    2.12 |    0.46 |    0.06 | 9bc0dc7 |
|             NEON |          base |   4 |   0 |   69.61 |    2.13 |    0.46 |    0.06 | 9bc0dc7 |
|             NEON |      small.en |   4 |   0 |  226.77 |    5.52 |    1.20 |    0.18 | 9bc0dc7 |
|             NEON |         small |   4 |   0 |  227.61 |    5.50 |    1.21 |    0.18 | 9bc0dc7 |
|             NEON |     medium.en |   4 |   0 |  675.81 |   14.33 |    3.04 |    0.49 | 9bc0dc7 |
|             NEON |        medium |   4 |   0 |  688.82 |   14.63 |    3.05 |    0.49 | 9bc0dc7 |
|             NEON |      large-v1 |   4 |   0 | 1267.25 |   24.78 |    5.20 |    0.89 | 9bc0dc7 |
|             NEON |      large-v2 |   4 |   0 | 1269.80 |   24.86 |    5.25 |    0.89 | 9bc0dc7 |
|             NEON |      large-v3 |   4 |   0 | 1268.34 |   24.87 |    5.26 |    0.89 | 9bc0dc7 |
|             NEON | large-v3-turbo |   4 |   0 | 1159.37 |    4.53 |    0.94 |    0.15 | 9bc0dc7 |
