|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  549.26 |    1.86 |    0.93 |    0.74 | 9bc0dc7 |
|             AVX2 |          tiny |   4 |   0 |  544.36 |    1.87 |    0.93 |    0.74 | 9bc0dc7 |
|             AVX2 |       base.en |   4 |   0 | 1201.84 |    3.56 |    1.69 |    1.30 | 9bc0dc7 |
|             AVX2 |          base |   4 |   0 | 1221.36 |    3.71 |    1.71 |    1.31 | 9bc0dc7 |
|             AVX2 |      small.en |   4 |   0 | 4230.51 |   10.50 |    4.73 |    3.70 | 9bc0dc7 |
|             AVX2 |         small |   4 |   0 | 4224.24 |   10.33 |    4.70 |    3.69 | 9bc0dc7 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.22 |   13.31 |   10.28 | 9bc0dc7 |
|             AVX2 |        medium |   4 |   0 |      ms |   28.97 |   13.24 |   10.29 | 9bc0dc7 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   52.98 |   24.19 |   18.76 | 9bc0dc7 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.16 |   24.35 |   18.76 | 9bc0dc7 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.11 |   24.27 |   18.75 | 9bc0dc7 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.42 |    4.24 |    3.33 | 9bc0dc7 |
