|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  548.76 |    2.06 |    1.04 |    0.79 | 9bc0dc72 |
|             NEON |          tiny |   4 |   0 |  547.62 |    2.05 |    1.04 |    0.79 | 9bc0dc72 |
|             NEON |       base.en |   4 |   0 | 1230.18 |    4.32 |    1.95 |    1.39 | 9bc0dc72 |
|             NEON |          base |   4 |   0 | 1237.18 |    4.33 |    1.94 |    1.39 | 9bc0dc72 |
|             NEON |      small.en |   4 |   0 | 4400.92 |   12.32 |    5.46 |    3.80 | 9bc0dc72 |
|             NEON |         small |   4 |   0 | 4396.73 |   12.05 |    5.47 |    3.79 | 9bc0dc72 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.48 |   14.45 |   10.67 | 9bc0dc72 |
|             NEON |        medium |   4 |   0 |      ms |   33.43 |   14.56 |   10.66 | 9bc0dc72 |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.91 |   26.44 |   19.60 | 9bc0dc72 |
|             NEON |      large-v2 |   4 |   0 |      ms |   61.35 |   26.43 |   19.59 | 9bc0dc72 |
|             NEON |      large-v3 |   4 |   0 |      ms |   60.30 |   26.15 |   19.57 | 9bc0dc72 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.15 |    4.55 |    3.44 | 9bc0dc72 |
