|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.15 |    1.04 |    0.29 |    0.01 | 9bc0dc72 |
|             AVX2 |          tiny |   4 |   0 |    5.82 |    1.00 |    0.29 |    0.01 | 9bc0dc72 |
|             AVX2 |       base.en |   4 |   0 |   10.65 |    1.42 |    0.43 |    0.02 | 9bc0dc72 |
|             AVX2 |          base |   4 |   0 |   10.62 |    1.52 |    0.43 |    0.02 | 9bc0dc72 |
|             AVX2 |      small.en |   4 |   0 |   30.09 |    2.74 |    0.85 |    0.04 | 9bc0dc72 |
|             AVX2 |         small |   4 |   0 |   30.01 |    2.76 |    0.85 |    0.04 | 9bc0dc72 |
|             AVX2 |     medium.en |   4 |   0 |   81.31 |    6.00 |    1.81 |    0.09 | 9bc0dc72 |
|             AVX2 |        medium |   4 |   0 |   81.43 |    5.94 |    1.79 |    0.09 | 9bc0dc72 |
|             AVX2 |      large-v1 |   4 |   0 |  134.69 |    8.63 |    2.68 |    0.14 | 9bc0dc72 |
|             AVX2 |      large-v2 |   4 |   0 |  134.85 |    8.62 |    2.71 |    0.14 | 9bc0dc72 |
|             AVX2 |      large-v3 |   4 |   0 |  135.11 |    8.69 |    2.71 |    0.14 | 9bc0dc72 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.50 |    1.38 |    0.44 |    0.02 | 9bc0dc72 |
