|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  442.04 |    1.50 |    0.78 |    0.60 | 9bc0dc7 |
|             AVX2 |          tiny |   4 |   0 |  440.28 |    1.32 |    0.75 |    0.60 | 9bc0dc7 |
|             AVX2 |       base.en |   4 |   0 |  964.51 |    3.00 |    1.44 |    1.05 | 9bc0dc7 |
|             AVX2 |          base |   4 |   0 |  964.60 |    2.97 |    1.41 |    1.05 | 9bc0dc7 |
|             AVX2 |      small.en |   4 |   0 | 3399.72 |   10.85 |    4.46 |    2.98 | 9bc0dc7 |
|             AVX2 |         small |   4 |   0 | 3412.24 |   10.92 |    4.47 |    2.99 | 9bc0dc7 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.32 |   12.94 |    8.37 | 9bc0dc7 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.22 |   12.92 |    8.37 | 9bc0dc7 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.39 |   24.43 |   15.41 | 9bc0dc7 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.04 |   24.34 |   15.41 | 9bc0dc7 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.01 |   24.41 |   15.50 | 9bc0dc7 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.10 |    4.12 |    2.75 | 9bc0dc7 |
