|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.96 |    1.31 |    0.38 |    0.03 | be9de81 |
|             NEON |          tiny |   4 |   0 |   34.51 |    1.31 |    0.38 |    0.03 | be9de81 |
|             NEON |       base.en |   4 |   0 |   69.36 |    2.16 |    0.48 |    0.06 | be9de81 |
|             NEON |          base |   4 |   0 |   69.39 |    2.13 |    0.49 |    0.06 | be9de81 |
|             NEON |      small.en |   4 |   0 |  226.87 |    5.51 |    1.19 |    0.18 | be9de81 |
|             NEON |         small |   4 |   0 |  226.87 |    5.49 |    1.20 |    0.18 | be9de81 |
|             NEON |     medium.en |   4 |   0 |  675.19 |   14.32 |    3.05 |    0.49 | be9de81 |
|             NEON |        medium |   4 |   0 |  680.30 |   14.31 |    3.06 |    0.49 | be9de81 |
|             NEON |      large-v1 |   4 |   0 | 1263.89 |   24.80 |    5.23 |    0.89 | be9de81 |
|             NEON |      large-v2 |   4 |   0 | 1271.01 |   24.98 |    5.46 |    0.89 | be9de81 |
|             NEON |      large-v3 |   4 |   0 | 1271.62 |   24.87 |    5.28 |    0.89 | be9de81 |
|             NEON | large-v3-turbo |   4 |   0 | 1161.34 |    4.53 |    0.95 |    0.15 | be9de81 |
