|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  551.44 |    1.88 |    0.96 |    0.74 | be9de81 |
|             AVX2 |          tiny |   4 |   0 |  545.99 |    1.90 |    0.95 |    0.74 | be9de81 |
|             AVX2 |       base.en |   4 |   0 | 1199.96 |    3.58 |    1.68 |    1.31 | be9de81 |
|             AVX2 |          base |   4 |   0 | 1212.96 |    3.62 |    1.72 |    1.32 | be9de81 |
|             AVX2 |      small.en |   4 |   0 | 4247.15 |   10.36 |    4.77 |    3.71 | be9de81 |
|             AVX2 |         small |   4 |   0 | 4257.75 |   10.33 |    4.74 |    3.71 | be9de81 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.16 |   13.29 |   10.27 | be9de81 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.32 |   13.43 |   10.32 | be9de81 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.39 |   24.41 |   18.87 | be9de81 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.37 |   24.33 |   18.83 | be9de81 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.42 |   24.28 |   18.88 | be9de81 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.52 |    4.27 |    3.34 | be9de81 |
