|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.17 |    1.03 |    0.29 |    0.01 | be9de811 |
|             AVX2 |          tiny |   4 |   0 |    5.87 |    1.01 |    0.30 |    0.01 | be9de811 |
|             AVX2 |       base.en |   4 |   0 |   10.64 |    1.48 |    0.41 |    0.02 | be9de811 |
|             AVX2 |          base |   4 |   0 |   10.64 |    1.45 |    0.42 |    0.02 | be9de811 |
|             AVX2 |      small.en |   4 |   0 |   30.04 |    2.78 |    0.85 |    0.04 | be9de811 |
|             AVX2 |         small |   4 |   0 |   29.98 |    2.80 |    0.86 |    0.04 | be9de811 |
|             AVX2 |     medium.en |   4 |   0 |   81.42 |    5.94 |    1.79 |    0.09 | be9de811 |
|             AVX2 |        medium |   4 |   0 |   81.41 |    5.94 |    1.79 |    0.09 | be9de811 |
|             AVX2 |      large-v1 |   4 |   0 |  134.76 |    8.66 |    2.70 |    0.14 | be9de811 |
|             AVX2 |      large-v2 |   4 |   0 |  134.73 |    8.63 |    2.72 |    0.14 | be9de811 |
|             AVX2 |      large-v3 |   4 |   0 |  135.07 |    8.55 |    2.66 |    0.14 | be9de811 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.51 |    1.37 |    0.44 |    0.02 | be9de811 |
