|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.24 |    1.30 |    0.73 |    0.60 | be9de81 |
|             AVX2 |          tiny |   4 |   0 |  441.02 |    1.29 |    0.73 |    0.60 | be9de81 |
|             AVX2 |       base.en |   4 |   0 |  965.27 |    2.96 |    1.42 |    1.06 | be9de81 |
|             AVX2 |          base |   4 |   0 |  966.58 |    2.94 |    1.40 |    1.05 | be9de81 |
|             AVX2 |      small.en |   4 |   0 | 3401.73 |   10.85 |    4.48 |    2.98 | be9de81 |
|             AVX2 |         small |   4 |   0 | 3407.56 |   10.98 |    4.49 |    3.01 | be9de81 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.32 |   12.93 |    8.36 | be9de81 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.30 |   12.93 |    8.38 | be9de81 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.15 |   24.43 |   15.42 | be9de81 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.06 |   24.40 |   15.40 | be9de81 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.02 |   24.36 |   15.41 | be9de81 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.09 |    4.15 |    2.75 | be9de81 |
