|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.93 |    1.31 |    0.38 |    0.03 | c8e12f5 |
|             NEON |          tiny |   4 |   0 |   33.89 |    1.34 |    0.38 |    0.03 | c8e12f5 |
|             NEON |       base.en |   4 |   0 |   69.40 |    2.12 |    0.48 |    0.06 | c8e12f5 |
|             NEON |          base |   4 |   0 |   69.43 |    2.13 |    0.48 |    0.06 | c8e12f5 |
|             NEON |      small.en |   4 |   0 |  226.83 |    5.49 |    1.19 |    0.18 | c8e12f5 |
|             NEON |         small |   4 |   0 |  226.73 |    5.52 |    1.14 |    0.18 | c8e12f5 |
|             NEON |     medium.en |   4 |   0 |  678.30 |   14.28 |    3.06 |    0.49 | c8e12f5 |
|             NEON |        medium |   4 |   0 |  678.54 |   14.28 |    3.04 |    0.49 | c8e12f5 |
|             NEON |      large-v1 |   4 |   0 | 1263.51 |   24.75 |    5.21 |    0.89 | c8e12f5 |
|             NEON |      large-v2 |   4 |   0 | 1271.08 |   24.76 |    5.23 |    0.89 | c8e12f5 |
|             NEON |      large-v3 |   4 |   0 | 1268.20 |   24.92 |    5.45 |    0.89 | c8e12f5 |
|             NEON | large-v3-turbo |   4 |   0 | 1155.04 |    4.51 |    0.94 |    0.15 | c8e12f5 |
