|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  563.80 |    1.90 |    0.97 |    0.77 | c8e12f5 |
|             AVX2 |          tiny |   4 |   0 |  566.07 |    1.91 |    1.00 |    0.78 | c8e12f5 |
|             AVX2 |       base.en |   4 |   0 | 1246.63 |    3.63 |    1.74 |    1.36 | c8e12f5 |
|             AVX2 |          base |   4 |   0 | 1244.83 |    3.70 |    1.75 |    1.34 | c8e12f5 |
|             AVX2 |      small.en |   4 |   0 | 4382.57 |   10.43 |    4.88 |    3.80 | c8e12f5 |
|             AVX2 |         small |   4 |   0 | 4415.59 |   10.48 |    4.93 |    3.81 | c8e12f5 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.60 |   13.93 |   10.65 | c8e12f5 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.18 |   13.84 |   10.66 | c8e12f5 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.89 |   25.27 |   19.52 | c8e12f5 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.56 |   25.08 |   19.48 | c8e12f5 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.44 |   25.16 |   19.42 | c8e12f5 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.56 |    4.37 |    3.43 | c8e12f5 |
