|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  545.66 |    2.02 |    1.02 |    0.79 | c8e12f59 |
|             NEON |          tiny |   4 |   0 |  543.96 |    2.04 |    1.03 |    0.79 | c8e12f59 |
|             NEON |       base.en |   4 |   0 | 1227.54 |    4.23 |    1.93 |    1.38 | c8e12f59 |
|             NEON |          base |   4 |   0 | 1237.67 |    4.27 |    1.91 |    1.38 | c8e12f59 |
|             NEON |      small.en |   4 |   0 | 4371.57 |   12.06 |    5.42 |    3.79 | c8e12f59 |
|             NEON |         small |   4 |   0 | 4365.01 |   11.91 |    5.39 |    3.77 | c8e12f59 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.53 |   14.56 |   10.62 | c8e12f59 |
|             NEON |        medium |   4 |   0 |      ms |   33.12 |   14.47 |   10.59 | c8e12f59 |
|             NEON |      large-v1 |   4 |   0 |      ms |   59.17 |   25.96 |   19.40 | c8e12f59 |
|             NEON |      large-v2 |   4 |   0 |      ms |   60.02 |   26.19 |   19.42 | c8e12f59 |
|             NEON |      large-v3 |   4 |   0 |      ms |   58.70 |   25.79 |   19.34 | c8e12f59 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |    9.88 |    4.48 |    3.41 | c8e12f59 |
