|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.16 |    1.06 |    0.29 |    0.01 | c8e12f59 |
|             AVX2 |          tiny |   4 |   0 |    5.78 |    0.99 |    0.29 |    0.01 | c8e12f59 |
|             AVX2 |       base.en |   4 |   0 |   10.61 |    1.45 |    0.41 |    0.02 | c8e12f59 |
|             AVX2 |          base |   4 |   0 |   10.61 |    1.41 |    0.42 |    0.02 | c8e12f59 |
|             AVX2 |      small.en |   4 |   0 |   29.99 |    2.78 |    0.84 |    0.04 | c8e12f59 |
|             AVX2 |         small |   4 |   0 |   29.92 |    2.76 |    0.85 |    0.04 | c8e12f59 |
|             AVX2 |     medium.en |   4 |   0 |   81.32 |    5.93 |    1.78 |    0.09 | c8e12f59 |
|             AVX2 |        medium |   4 |   0 |   81.48 |    5.95 |    1.80 |    0.09 | c8e12f59 |
|             AVX2 |      large-v1 |   4 |   0 |  134.70 |    8.50 |    2.66 |    0.14 | c8e12f59 |
|             AVX2 |      large-v2 |   4 |   0 |  134.72 |    8.65 |    2.70 |    0.14 | c8e12f59 |
|             AVX2 |      large-v3 |   4 |   0 |  134.98 |    8.66 |    2.68 |    0.14 | c8e12f59 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.37 |    1.42 |    0.44 |    0.02 | c8e12f59 |
