|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.49 |    1.44 |    0.76 |    0.60 | c8e12f5 |
|             AVX2 |          tiny |   4 |   0 |  440.61 |    1.28 |    0.73 |    0.60 | c8e12f5 |
|             AVX2 |       base.en |   4 |   0 |  961.85 |    2.99 |    1.44 |    1.05 | c8e12f5 |
|             AVX2 |          base |   4 |   0 |  967.51 |    3.02 |    1.42 |    1.06 | c8e12f5 |
|             AVX2 |      small.en |   4 |   0 | 3405.50 |   10.88 |    4.49 |    2.99 | c8e12f5 |
|             AVX2 |         small |   4 |   0 | 3410.33 |   10.98 |    4.52 |    2.99 | c8e12f5 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.25 |   12.91 |    8.38 | c8e12f5 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.44 |   12.93 |    8.38 | c8e12f5 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.34 |   24.38 |   15.41 | c8e12f5 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.36 |   24.43 |   15.41 | c8e12f5 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.06 |   24.37 |   15.42 | c8e12f5 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.08 |    4.12 |    2.75 | c8e12f5 |
