|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   34.73 |    1.33 |    0.38 |    0.03 | ca75449 |
|             NEON |          tiny |   4 |   0 |   33.93 |    1.32 |    0.38 |    0.03 | ca75449 |
|             NEON |       base.en |   4 |   0 |   70.19 |    2.11 |    0.48 |    0.06 | ca75449 |
|             NEON |          base |   4 |   0 |   69.61 |    2.18 |    0.48 |    0.06 | ca75449 |
|             NEON |      small.en |   4 |   0 |  229.30 |    5.48 |    1.20 |    0.18 | ca75449 |
|             NEON |         small |   4 |   0 |  229.06 |    5.56 |    1.20 |    0.18 | ca75449 |
|             NEON |     medium.en |   4 |   0 |  683.54 |   14.29 |    3.05 |    0.49 | ca75449 |
|             NEON |        medium |   4 |   0 |  675.66 |   14.30 |    3.07 |    0.49 | ca75449 |
|             NEON |      large-v1 |   4 |   0 | 1271.50 |   24.76 |    5.19 |    0.89 | ca75449 |
|             NEON |      large-v2 |   4 |   0 | 1265.14 |   25.16 |    5.45 |    0.89 | ca75449 |
|             NEON |      large-v3 |   4 |   0 | 1271.53 |   24.85 |    5.28 |    0.89 | ca75449 |
|             NEON | large-v3-turbo |   4 |   0 | 1159.80 |    4.48 |    0.95 |    0.15 | ca75449 |
