|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  553.04 |    1.90 |    0.96 |    0.75 | ca75449 |
|             AVX2 |          tiny |   4 |   0 |  560.27 |    1.92 |    0.99 |    0.75 | ca75449 |
|             AVX2 |       base.en |   4 |   0 | 1203.96 |    3.63 |    1.71 |    1.31 | ca75449 |
|             AVX2 |          base |   4 |   0 | 1214.49 |    3.61 |    1.73 |    1.31 | ca75449 |
|             AVX2 |      small.en |   4 |   0 | 4255.54 |   10.48 |    4.82 |    3.75 | ca75449 |
|             AVX2 |         small |   4 |   0 | 4283.33 |   10.37 |    4.78 |    3.71 | ca75449 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.10 |   13.47 |   10.35 | ca75449 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.38 |   13.42 |   10.32 | ca75449 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.38 |   24.45 |   18.99 | ca75449 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.11 |   24.66 |   18.94 | ca75449 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.38 |   24.56 |   18.94 | ca75449 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.51 |    4.25 |    3.36 | ca75449 |
