|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  547.27 |    2.05 |    1.04 |    0.80 | ca75449a |
|             NEON |          tiny |   4 |   0 |  546.86 |    2.07 |    1.05 |    0.79 | ca75449a |
|             NEON |       base.en |   4 |   0 | 1239.66 |    4.41 |    1.97 |    1.39 | ca75449a |
|             NEON |          base |   4 |   0 | 1235.55 |    4.37 |    1.94 |    1.39 | ca75449a |
|             NEON |      small.en |   4 |   0 | 4397.59 |   12.26 |    5.50 |    3.80 | ca75449a |
|             NEON |         small |   4 |   0 | 4431.93 |   12.27 |    5.52 |    3.81 | ca75449a |
|             NEON |     medium.en |   4 |   0 |      ms |   33.91 |   14.64 |   10.69 | ca75449a |
|             NEON |        medium |   4 |   0 |      ms |   34.78 |   14.85 |   10.69 | ca75449a |
|             NEON |      large-v1 |   4 |   0 |      ms |   61.16 |   26.49 |   19.64 | ca75449a |
|             NEON |      large-v2 |   4 |   0 |      ms |   61.67 |   26.55 |   19.58 | ca75449a |
|             NEON |      large-v3 |   4 |   0 |      ms |   60.98 |   26.27 |   19.61 | ca75449a |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.01 |    4.50 |    3.43 | ca75449a |
