|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.15 |    1.05 |    0.29 |    0.01 | ca75449a |
|             AVX2 |          tiny |   4 |   0 |    5.81 |    0.99 |    0.29 |    0.01 | ca75449a |
|             AVX2 |       base.en |   4 |   0 |   10.74 |    1.43 |    0.41 |    0.02 | ca75449a |
|             AVX2 |          base |   4 |   0 |   10.59 |    1.44 |    0.44 |    0.02 | ca75449a |
|             AVX2 |      small.en |   4 |   0 |   30.02 |    2.78 |    0.83 |    0.04 | ca75449a |
|             AVX2 |         small |   4 |   0 |   34.98 |    2.83 |    0.86 |    0.04 | ca75449a |
|             AVX2 |     medium.en |   4 |   0 |   81.33 |    5.96 |    1.78 |    0.09 | ca75449a |
|             AVX2 |        medium |   4 |   0 |   81.44 |    5.96 |    1.82 |    0.09 | ca75449a |
|             AVX2 |      large-v1 |   4 |   0 |  134.80 |    8.67 |    2.70 |    0.14 | ca75449a |
|             AVX2 |      large-v2 |   4 |   0 |  134.77 |    8.53 |    2.66 |    0.14 | ca75449a |
|             AVX2 |      large-v3 |   4 |   0 |  135.08 |    8.59 |    2.68 |    0.14 | ca75449a |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.51 |    1.37 |    0.44 |    0.02 | ca75449a |
