|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.37 |    1.25 |    0.72 |    0.60 | ca75449 |
|             AVX2 |          tiny |   4 |   0 |  439.87 |    1.25 |    0.73 |    0.60 | ca75449 |
|             AVX2 |       base.en |   4 |   0 |  965.45 |    2.96 |    1.42 |    1.05 | ca75449 |
|             AVX2 |          base |   4 |   0 |  964.65 |    2.96 |    1.40 |    1.05 | ca75449 |
|             AVX2 |      small.en |   4 |   0 | 3401.28 |   11.01 |    4.49 |    2.99 | ca75449 |
|             AVX2 |         small |   4 |   0 | 3412.89 |   10.91 |    4.47 |    2.98 | ca75449 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.31 |   12.93 |    8.36 | ca75449 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.34 |   12.91 |    8.37 | ca75449 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.32 |   24.44 |   15.39 | ca75449 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.24 |   24.40 |   15.39 | ca75449 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.09 |   24.39 |   15.42 | ca75449 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.05 |    4.10 |    2.75 | ca75449 |
