|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.96 |    1.31 |    0.37 |    0.03 | d2aaffd |
|             NEON |          tiny |   4 |   0 |   33.96 |    1.34 |    0.38 |    0.03 | d2aaffd |
|             NEON |       base.en |   4 |   0 |   69.38 |    2.12 |    0.47 |    0.06 | d2aaffd |
|             NEON |          base |   4 |   0 |   69.42 |    2.12 |    0.48 |    0.06 | d2aaffd |
|             NEON |      small.en |   4 |   0 |  226.44 |    5.49 |    1.18 |    0.18 | d2aaffd |
|             NEON |         small |   4 |   0 |  226.65 |    5.49 |    1.19 |    0.18 | d2aaffd |
|             NEON |     medium.en |   4 |   0 |  679.85 |   14.23 |    3.05 |    0.49 | d2aaffd |
|             NEON |        medium |   4 |   0 |  677.29 |   14.26 |    3.06 |    0.50 | d2aaffd |
|             NEON |      large-v1 |   4 |   0 | 1268.54 |   24.74 |    5.24 |    0.89 | d2aaffd |
|             NEON |      large-v2 |   4 |   0 | 1270.01 |   24.74 |    5.20 |    0.89 | d2aaffd |
|             NEON |      large-v3 |   4 |   0 | 1264.90 |   24.80 |    5.26 |    0.89 | d2aaffd |
|             NEON | large-v3-turbo |   4 |   0 | 1158.97 |    4.51 |    0.94 |    0.15 | d2aaffd |
