|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.11 |    1.04 |    0.29 |    0.01 | d2aaffd5 |
|             AVX2 |          tiny |   4 |   0 |    5.83 |    0.98 |    0.30 |    0.01 | d2aaffd5 |
|             AVX2 |       base.en |   4 |   0 |   10.60 |    1.43 |    0.44 |    0.02 | d2aaffd5 |
|             AVX2 |          base |   4 |   0 |   10.59 |    1.46 |    0.43 |    0.02 | d2aaffd5 |
|             AVX2 |      small.en |   4 |   0 |   30.05 |    2.79 |    0.84 |    0.04 | d2aaffd5 |
|             AVX2 |         small |   4 |   0 |   30.52 |    2.77 |    0.84 |    0.04 | d2aaffd5 |
|             AVX2 |     medium.en |   4 |   0 |   81.42 |    5.92 |    1.78 |    0.09 | d2aaffd5 |
|             AVX2 |        medium |   4 |   0 |   81.44 |    6.07 |    1.85 |    0.09 | d2aaffd5 |
|             AVX2 |      large-v1 |   4 |   0 |  134.72 |    8.62 |    2.73 |    0.14 | d2aaffd5 |
|             AVX2 |      large-v2 |   4 |   0 |  134.93 |    8.65 |    2.71 |    0.14 | d2aaffd5 |
|             AVX2 |      large-v3 |   4 |   0 |  135.35 |    8.66 |    2.66 |    0.14 | d2aaffd5 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.44 |    1.37 |    0.44 |    0.02 | d2aaffd5 |
