|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.91 |    1.33 |    0.38 |    0.03 | e0f3c9d |
|             NEON |          tiny |   4 |   0 |   33.90 |    1.32 |    0.38 |    0.03 | e0f3c9d |
|             NEON |       base.en |   4 |   0 |   69.61 |    2.16 |    0.47 |    0.06 | e0f3c9d |
|             NEON |          base |   4 |   0 |   69.40 |    2.15 |    0.48 |    0.06 | e0f3c9d |
|             NEON |      small.en |   4 |   0 |  226.49 |    5.49 |    1.20 |    0.18 | e0f3c9d |
|             NEON |         small |   4 |   0 |  229.94 |    5.34 |    1.21 |    0.18 | e0f3c9d |
|             NEON |     medium.en |   4 |   0 |  680.44 |   14.26 |    3.05 |    0.49 | e0f3c9d |
|             NEON |        medium |   4 |   0 |  676.57 |   14.32 |    3.04 |    0.49 | e0f3c9d |
|             NEON |      large-v1 |   4 |   0 | 1264.77 |   24.72 |    5.24 |    0.89 | e0f3c9d |
|             NEON |      large-v2 |   4 |   0 | 1269.24 |   24.77 |    5.22 |    0.89 | e0f3c9d |
|             NEON |      large-v3 |   4 |   0 | 1268.04 |   24.78 |    5.26 |    0.89 | e0f3c9d |
|             NEON | large-v3-turbo |   4 |   0 | 1157.62 |    4.50 |    0.95 |    0.15 | e0f3c9d |
