|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  563.87 |    1.86 |    0.96 |    0.76 | e0f3c9d |
|             AVX2 |          tiny |   4 |   0 |  563.55 |    1.84 |    0.98 |    0.77 | e0f3c9d |
|             AVX2 |       base.en |   4 |   0 | 1263.05 |    3.67 |    1.74 |    1.36 | e0f3c9d |
|             AVX2 |          base |   4 |   0 | 1245.60 |    3.58 |    1.74 |    1.35 | e0f3c9d |
|             AVX2 |      small.en |   4 |   0 | 4379.11 |   10.44 |    4.93 |    3.81 | e0f3c9d |
|             AVX2 |         small |   4 |   0 | 4350.64 |   10.43 |    4.90 |    3.81 | e0f3c9d |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.44 |   13.90 |   10.67 | e0f3c9d |
|             AVX2 |        medium |   4 |   0 |      ms |   29.35 |   13.85 |   10.59 | e0f3c9d |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.76 |   25.23 |   19.43 | e0f3c9d |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.50 |   25.01 |   19.46 | e0f3c9d |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.76 |   25.00 |   19.50 | e0f3c9d |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.63 |    4.38 |    3.46 | e0f3c9d |
