|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    9.17 |    1.02 |    0.28 |    0.01 | e0f3c9d4 |
|             AVX2 |          tiny |   4 |   0 |    5.86 |    0.99 |    0.31 |    0.01 | e0f3c9d4 |
|             AVX2 |       base.en |   4 |   0 |   10.65 |    1.46 |    0.41 |    0.02 | e0f3c9d4 |
|             AVX2 |          base |   4 |   0 |   10.59 |    1.43 |    0.42 |    0.02 | e0f3c9d4 |
|             AVX2 |      small.en |   4 |   0 |   30.14 |    2.75 |    0.89 |    0.04 | e0f3c9d4 |
|             AVX2 |         small |   4 |   0 |   29.92 |    2.78 |    0.84 |    0.04 | e0f3c9d4 |
|             AVX2 |     medium.en |   4 |   0 |   81.37 |    5.98 |    1.79 |    0.09 | e0f3c9d4 |
|             AVX2 |        medium |   4 |   0 |   81.41 |    5.99 |    1.79 |    0.09 | e0f3c9d4 |
|             AVX2 |      large-v1 |   4 |   0 |  134.64 |    8.56 |    2.68 |    0.14 | e0f3c9d4 |
|             AVX2 |      large-v2 |   4 |   0 |  134.74 |    8.61 |    2.69 |    0.14 | e0f3c9d4 |
|             AVX2 |      large-v3 |   4 |   0 |  134.95 |    8.67 |    2.67 |    0.14 | e0f3c9d4 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.47 |    1.59 |    0.44 |    0.02 | e0f3c9d4 |
