|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  441.26 |    1.30 |    0.73 |    0.60 | e0f3c9d |
|             AVX2 |          tiny |   4 |   0 |  440.17 |    1.32 |    0.74 |    0.60 | e0f3c9d |
|             AVX2 |       base.en |   4 |   0 |  966.72 |    3.00 |    1.42 |    1.05 | e0f3c9d |
|             AVX2 |          base |   4 |   0 |  966.14 |    3.12 |    1.43 |    1.05 | e0f3c9d |
|             AVX2 |      small.en |   4 |   0 | 3407.88 |   10.92 |    4.50 |    2.99 | e0f3c9d |
|             AVX2 |         small |   4 |   0 | 3415.35 |   11.00 |    4.50 |    2.98 | e0f3c9d |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.36 |   12.91 |    8.37 | e0f3c9d |
|             AVX2 |        medium |   4 |   0 |      ms |   32.24 |   12.90 |    8.37 | e0f3c9d |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   60.99 |   24.38 |   15.40 | e0f3c9d |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.17 |   24.36 |   15.42 | e0f3c9d |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   60.95 |   24.37 |   15.41 | e0f3c9d |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.07 |    4.11 |    2.76 | e0f3c9d |
