|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.94 |    1.31 |    0.38 |    0.03 | e27fd6f |
|             NEON |          tiny |   4 |   0 |   34.07 |    1.34 |    0.38 |    0.03 | e27fd6f |
|             NEON |       base.en |   4 |   0 |   69.36 |    2.12 |    0.48 |    0.06 | e27fd6f |
|             NEON |          base |   4 |   0 |   69.42 |    2.11 |    0.46 |    0.06 | e27fd6f |
|             NEON |      small.en |   4 |   0 |  227.04 |    5.49 |    1.19 |    0.18 | e27fd6f |
|             NEON |         small |   4 |   0 |  226.80 |    5.50 |    1.19 |    0.18 | e27fd6f |
|             NEON |     medium.en |   4 |   0 |  676.10 |   14.29 |    3.06 |    0.49 | e27fd6f |
|             NEON |        medium |   4 |   0 |  674.11 |   14.30 |    3.05 |    0.49 | e27fd6f |
|             NEON |      large-v1 |   4 |   0 | 1266.60 |   24.72 |    5.24 |    0.89 | e27fd6f |
|             NEON |      large-v2 |   4 |   0 | 1287.29 |   25.17 |    5.26 |    0.89 | e27fd6f |
|             NEON |      large-v3 |   4 |   0 | 1269.72 |   24.79 |    5.25 |    0.89 | e27fd6f |
|             NEON | large-v3-turbo |   4 |   0 | 1160.32 |    4.53 |    0.95 |    0.15 | e27fd6f |
