|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  563.57 |    1.95 |    0.99 |    0.78 | e27fd6f |
|             AVX2 |          tiny |   4 |   0 |  560.36 |    1.91 |    0.98 |    0.77 | e27fd6f |
|             AVX2 |       base.en |   4 |   0 | 1242.31 |    3.69 |    1.75 |    1.35 | e27fd6f |
|             AVX2 |          base |   4 |   0 | 1241.23 |    3.67 |    1.73 |    1.34 | e27fd6f |
|             AVX2 |      small.en |   4 |   0 | 4362.32 |   10.53 |    4.91 |    3.81 | e27fd6f |
|             AVX2 |         small |   4 |   0 | 4370.12 |   10.49 |    4.93 |    3.81 | e27fd6f |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.32 |   13.82 |   10.61 | e27fd6f |
|             AVX2 |        medium |   4 |   0 |      ms |   29.07 |   13.74 |   10.67 | e27fd6f |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.66 |   25.09 |   19.45 | e27fd6f |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.70 |   25.06 |   19.43 | e27fd6f |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.53 |   24.95 |   19.40 | e27fd6f |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.57 |    4.39 |    3.44 | e27fd6f |
