|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.13 |    1.03 |    0.29 |    0.01 | e27fd6f0 |
|             AVX2 |          tiny |   4 |   0 |    5.79 |    0.99 |    0.30 |    0.01 | e27fd6f0 |
|             AVX2 |       base.en |   4 |   0 |   10.60 |    1.41 |    0.40 |    0.02 | e27fd6f0 |
|             AVX2 |          base |   4 |   0 |   10.59 |    1.42 |    0.42 |    0.02 | e27fd6f0 |
|             AVX2 |      small.en |   4 |   0 |   30.18 |    2.85 |    0.86 |    0.04 | e27fd6f0 |
|             AVX2 |         small |   4 |   0 |   29.94 |    2.74 |    0.85 |    0.04 | e27fd6f0 |
|             AVX2 |     medium.en |   4 |   0 |   81.30 |    5.95 |    1.77 |    0.09 | e27fd6f0 |
|             AVX2 |        medium |   4 |   0 |   81.39 |    5.97 |    1.80 |    0.09 | e27fd6f0 |
|             AVX2 |      large-v1 |   4 |   0 |  134.76 |    8.75 |    2.72 |    0.14 | e27fd6f0 |
|             AVX2 |      large-v2 |   4 |   0 |  134.94 |    8.59 |    2.68 |    0.14 | e27fd6f0 |
|             AVX2 |      large-v3 |   4 |   0 |  135.00 |    8.60 |    2.66 |    0.14 | e27fd6f0 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.47 |    1.38 |    0.44 |    0.02 | e27fd6f0 |
