|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.79 |    1.24 |    0.72 |    0.59 | e27fd6f |
|             AVX2 |          tiny |   4 |   0 |  442.08 |    1.32 |    0.73 |    0.60 | e27fd6f |
|             AVX2 |       base.en |   4 |   0 |  963.79 |    2.96 |    1.43 |    1.06 | e27fd6f |
|             AVX2 |          base |   4 |   0 |  965.42 |    2.94 |    1.40 |    1.05 | e27fd6f |
|             AVX2 |      small.en |   4 |   0 | 3402.65 |   10.86 |    4.48 |    2.99 | e27fd6f |
|             AVX2 |         small |   4 |   0 | 3412.48 |   10.86 |    4.47 |    2.99 | e27fd6f |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.33 |   12.97 |    8.38 | e27fd6f |
|             AVX2 |        medium |   4 |   0 |      ms |   32.30 |   12.92 |    8.37 | e27fd6f |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.39 |   24.48 |   15.42 | e27fd6f |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.16 |   24.40 |   15.42 | e27fd6f |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.03 |   24.38 |   15.44 | e27fd6f |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.09 |    4.11 |    2.75 | e27fd6f |
