|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   34.25 |    1.34 |    0.38 |    0.03 | e7d9d86 |
|             NEON |          tiny |   4 |   0 |   33.94 |    1.32 |    0.38 |    0.03 | e7d9d86 |
|             NEON |       base.en |   4 |   0 |   69.85 |    2.13 |    0.48 |    0.06 | e7d9d86 |
|             NEON |          base |   4 |   0 |   69.36 |    2.16 |    0.48 |    0.06 | e7d9d86 |
|             NEON |      small.en |   4 |   0 |  227.66 |    5.48 |    1.20 |    0.18 | e7d9d86 |
|             NEON |         small |   4 |   0 |  229.97 |    5.44 |    1.21 |    0.18 | e7d9d86 |
|             NEON |     medium.en |   4 |   0 |  679.24 |   14.28 |    3.04 |    0.49 | e7d9d86 |
|             NEON |        medium |   4 |   0 |  676.58 |   14.27 |    3.07 |    0.49 | e7d9d86 |
|             NEON |      large-v1 |   4 |   0 | 1267.46 |   24.71 |    5.22 |    0.89 | e7d9d86 |
|             NEON |      large-v2 |   4 |   0 | 1263.04 |   24.75 |    5.25 |    0.89 | e7d9d86 |
|             NEON |      large-v3 |   4 |   0 | 1271.24 |   24.77 |    5.26 |    0.89 | e7d9d86 |
|             NEON | large-v3-turbo |   4 |   0 | 1173.71 |    4.76 |    0.99 |    0.15 | e7d9d86 |
