|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  544.38 |    1.79 |    0.92 |    0.74 | e7d9d86 |
|             AVX2 |          tiny |   4 |   0 |  551.11 |    1.90 |    0.98 |    0.75 | e7d9d86 |
|             AVX2 |       base.en |   4 |   0 | 1198.08 |    3.51 |    1.69 |    1.31 | e7d9d86 |
|             AVX2 |          base |   4 |   0 | 1204.31 |    3.65 |    1.71 |    1.31 | e7d9d86 |
|             AVX2 |      small.en |   4 |   0 | 4214.43 |   10.24 |    4.74 |    3.69 | e7d9d86 |
|             AVX2 |         small |   4 |   0 | 4255.85 |   10.31 |    4.73 |    3.69 | e7d9d86 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.33 |   13.42 |   10.31 | e7d9d86 |
|             AVX2 |        medium |   4 |   0 |      ms |   29.11 |   13.30 |   10.31 | e7d9d86 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.22 |   24.26 |   18.80 | e7d9d86 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   53.44 |   24.43 |   18.86 | e7d9d86 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   53.30 |   24.40 |   18.82 | e7d9d86 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.52 |    4.28 |    3.34 | e7d9d86 |
