|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  546.16 |    2.05 |    1.05 |    0.79 | e7d9d868 |
|             NEON |          tiny |   4 |   0 |  545.96 |    2.06 |    1.04 |    0.79 | e7d9d868 |
|             NEON |       base.en |   4 |   0 | 1236.09 |    4.29 |    1.94 |    1.39 | e7d9d868 |
|             NEON |          base |   4 |   0 | 1245.33 |    4.32 |    1.94 |    1.39 | e7d9d868 |
|             NEON |      small.en |   4 |   0 | 4387.25 |   12.13 |    5.45 |    3.80 | e7d9d868 |
|             NEON |         small |   4 |   0 | 4397.01 |   12.16 |    5.45 |    3.80 | e7d9d868 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.80 |   14.46 |   10.65 | e7d9d868 |
|             NEON |        medium |   4 |   0 |      ms |   33.67 |   14.59 |   10.70 | e7d9d868 |
|             NEON |      large-v1 |   4 |   0 |      ms |   60.95 |   26.44 |   19.59 | e7d9d868 |
|             NEON |      large-v2 |   4 |   0 |      ms |   61.09 |   26.45 |   19.62 | e7d9d868 |
|             NEON |      large-v3 |   4 |   0 |      ms |   60.90 |   26.28 |   19.60 | e7d9d868 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.11 |    4.54 |    3.44 | e7d9d868 |
