|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |    6.14 |    1.05 |    0.28 |    0.01 | e7d9d868 |
|             AVX2 |          tiny |   4 |   0 |    5.83 |    1.00 |    0.30 |    0.01 | e7d9d868 |
|             AVX2 |       base.en |   4 |   0 |   10.65 |    1.42 |    0.41 |    0.02 | e7d9d868 |
|             AVX2 |          base |   4 |   0 |   10.80 |    1.44 |    0.42 |    0.02 | e7d9d868 |
|             AVX2 |      small.en |   4 |   0 |   30.02 |    2.76 |    0.83 |    0.04 | e7d9d868 |
|             AVX2 |         small |   4 |   0 |   30.83 |    2.77 |    0.84 |    0.04 | e7d9d868 |
|             AVX2 |     medium.en |   4 |   0 |   81.80 |    6.04 |    1.79 |    0.09 | e7d9d868 |
|             AVX2 |        medium |   4 |   0 |   82.65 |    5.98 |    1.85 |    0.09 | e7d9d868 |
|             AVX2 |      large-v1 |   4 |   0 |  134.84 |    8.51 |    2.69 |    0.14 | e7d9d868 |
|             AVX2 |      large-v2 |   4 |   0 |  134.73 |    8.65 |    2.74 |    0.14 | e7d9d868 |
|             AVX2 |      large-v3 |   4 |   0 |  135.14 |    8.65 |    2.69 |    0.14 | e7d9d868 |
|             AVX2 | large-v3-turbo |   4 |   0 |  124.45 |    1.38 |    0.44 |    0.02 | e7d9d868 |
