|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  437.96 |    1.24 |    0.72 |    0.59 | e7d9d86 |
|             AVX2 |          tiny |   4 |   0 |  440.17 |    1.24 |    0.72 |    0.60 | e7d9d86 |
|             AVX2 |       base.en |   4 |   0 |  972.09 |    2.99 |    1.42 |    1.05 | e7d9d86 |
|             AVX2 |          base |   4 |   0 |  967.59 |    2.93 |    1.39 |    1.05 | e7d9d86 |
|             AVX2 |      small.en |   4 |   0 | 3399.27 |   10.86 |    4.47 |    2.98 | e7d9d86 |
|             AVX2 |         small |   4 |   0 | 3418.38 |   10.94 |    4.48 |    2.98 | e7d9d86 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.31 |   12.94 |    8.37 | e7d9d86 |
|             AVX2 |        medium |   4 |   0 |      ms |   32.31 |   12.90 |    8.36 | e7d9d86 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   61.22 |   24.40 |   15.39 | e7d9d86 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.21 |   24.36 |   15.38 | e7d9d86 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   61.25 |   24.39 |   15.41 | e7d9d86 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.04 |    4.10 |    2.75 | e7d9d86 |
