|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |   33.95 |    1.32 |    0.38 |    0.04 | f11de0e |
|             NEON |          tiny |   4 |   0 |   34.74 |    1.34 |    0.38 |    0.03 | f11de0e |
|             NEON |       base.en |   4 |   0 |   69.47 |    2.13 |    0.49 |    0.06 | f11de0e |
|             NEON |          base |   4 |   0 |   69.23 |    2.14 |    0.48 |    0.06 | f11de0e |
|             NEON |      small.en |   4 |   0 |  228.58 |    5.48 |    1.19 |    0.18 | f11de0e |
|             NEON |         small |   4 |   0 |  226.64 |    5.54 |    1.19 |    0.18 | f11de0e |
|             NEON |     medium.en |   4 |   0 |  678.23 |   14.33 |    3.04 |    0.49 | f11de0e |
|             NEON |        medium |   4 |   0 |  676.01 |   14.27 |    3.06 |    0.49 | f11de0e |
|             NEON |      large-v1 |   4 |   0 | 1272.73 |   24.73 |    5.24 |    0.89 | f11de0e |
|             NEON |      large-v2 |   4 |   0 | 1268.08 |   24.80 |    5.23 |    0.89 | f11de0e |
|             NEON |      large-v3 |   4 |   0 | 1285.24 |   25.33 |    5.27 |    0.89 | f11de0e |
|             NEON | large-v3-turbo |   4 |   0 | 1164.73 |    4.52 |    0.94 |    0.15 | f11de0e |
