|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  564.30 |    1.86 |    0.99 |    0.78 | f11de0e |
|             AVX2 |          tiny |   4 |   0 |  565.73 |    1.90 |    0.96 |    0.77 | f11de0e |
|             AVX2 |       base.en |   4 |   0 | 1244.76 |    3.63 |    1.75 |    1.35 | f11de0e |
|             AVX2 |          base |   4 |   0 | 1236.59 |    3.63 |    1.74 |    1.36 | f11de0e |
|             AVX2 |      small.en |   4 |   0 | 4349.29 |   10.43 |    4.86 |    3.84 | f11de0e |
|             AVX2 |         small |   4 |   0 | 4354.65 |   10.37 |    4.86 |    3.81 | f11de0e |
|             AVX2 |     medium.en |   4 |   0 |      ms |   29.69 |   13.94 |   10.65 | f11de0e |
|             AVX2 |        medium |   4 |   0 |      ms |   29.39 |   13.80 |   10.64 | f11de0e |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   53.79 |   25.17 |   19.54 | f11de0e |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   54.06 |   25.19 |   19.56 | f11de0e |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   52.99 |   25.88 |   19.58 | f11de0e |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |    9.51 |    4.34 |    3.45 | f11de0e |
