|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             NEON |       tiny.en |   4 |   0 |  544.90 |    2.03 |    1.03 |    0.79 | f11de0e7 |
|             NEON |          tiny |   4 |   0 |  547.69 |    2.04 |    1.05 |    0.79 | f11de0e7 |
|             NEON |       base.en |   4 |   0 | 1229.36 |    4.24 |    1.91 |    1.38 | f11de0e7 |
|             NEON |          base |   4 |   0 | 1227.41 |    4.25 |    1.90 |    1.38 | f11de0e7 |
|             NEON |      small.en |   4 |   0 | 4363.90 |   12.05 |    5.41 |    3.78 | f11de0e7 |
|             NEON |         small |   4 |   0 | 4365.16 |   11.93 |    5.42 |    3.78 | f11de0e7 |
|             NEON |     medium.en |   4 |   0 |      ms |   33.54 |   14.55 |   10.62 | f11de0e7 |
|             NEON |        medium |   4 |   0 |      ms |   33.69 |   14.67 |   10.63 | f11de0e7 |
|             NEON |      large-v1 |   4 |   0 |      ms |   59.67 |   26.07 |   19.41 | f11de0e7 |
|             NEON |      large-v2 |   4 |   0 |      ms |   59.67 |   26.13 |   19.36 | f11de0e7 |
|             NEON |      large-v3 |   4 |   0 |      ms |   60.10 |   26.18 |   19.41 | f11de0e7 |
|             NEON | large-v3-turbo |   4 |   0 |      ms |   10.09 |    4.52 |    3.41 | f11de0e7 |
