|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  859.67 |    2.83 |    1.45 |    1.18 | f11de0e7 |
|             AVX2 |          tiny |   4 |   0 |  831.86 |    2.83 |    1.47 |    1.18 | f11de0e7 |
|             AVX2 |       base.en |   4 |   0 | 1847.48 |    5.13 |    2.61 |    2.07 | f11de0e7 |
|             AVX2 |          base |   4 |   0 | 1843.28 |    6.20 |    2.56 |    2.06 | f11de0e7 |
|             AVX2 |      small.en |   4 |   0 | 6574.68 |   13.54 |    7.35 |    5.83 | f11de0e7 |
|             AVX2 |         small |   4 |   0 | 6611.85 |   13.71 |    7.10 |    5.75 | f11de0e7 |
|             AVX2 |     medium.en |   4 |   0 |      ms |   38.44 |   19.66 |   16.01 | f11de0e7 |
|             AVX2 |        medium |   4 |   0 |      ms |   37.88 |   20.10 |   16.02 | f11de0e7 |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   67.07 |   36.84 |   29.86 | f11de0e7 |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   68.12 |   37.30 |   29.83 | f11de0e7 |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   68.84 |   37.49 |   29.77 | f11de0e7 |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   11.63 |    6.42 |    5.28 | f11de0e7 |
