|           Config |         Model |  Th |  FA |    Enc. |    Dec. |    Bch5 |      PP |  Commit |
|              --- |           --- | --- | --- |     --- |     --- |     --- |     --- |     --- |
|             AVX2 |       tiny.en |   4 |   0 |  439.77 |    1.33 |    0.74 |    0.60 | f11de0e |
|             AVX2 |          tiny |   4 |   0 |  445.00 |    1.27 |    0.72 |    0.60 | f11de0e |
|             AVX2 |       base.en |   4 |   0 |  966.18 |    3.00 |    1.42 |    1.05 | f11de0e |
|             AVX2 |          base |   4 |   0 |  967.68 |    2.92 |    1.39 |    1.05 | f11de0e |
|             AVX2 |      small.en |   4 |   0 | 3399.39 |   10.89 |    4.48 |    2.99 | f11de0e |
|             AVX2 |         small |   4 |   0 | 3406.53 |   10.87 |    4.47 |    2.99 | f11de0e |
|             AVX2 |     medium.en |   4 |   0 |      ms |   32.27 |   12.92 |    8.37 | f11de0e |
|             AVX2 |        medium |   4 |   0 |      ms |   32.00 |   12.86 |    8.36 | f11de0e |
|             AVX2 |      large-v1 |   4 |   0 |      ms |   60.88 |   24.34 |   15.39 | f11de0e |
|             AVX2 |      large-v2 |   4 |   0 |      ms |   61.13 |   24.40 |   15.37 | f11de0e |
|             AVX2 |      large-v3 |   4 |   0 |      ms |   60.75 |   24.30 |   15.39 | f11de0e |
|             AVX2 | large-v3-turbo |   4 |   0 |      ms |   10.04 |    4.11 |    2.75 | f11de0e |
